"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201905","공항철도 1호선","공항화물청사","0","0","619","419","1712","7969","2254","15588","2513","28950","2902","4705","809","2479","855","4184","1347","3738","1745","1882","2434","1012","3555","1151","5477","1658","9980","1581","21009","1081","5565","2631","3822","3295","4671","1316","2864","384","799","246","12","62","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","김포공항","20","0","2215","2031","4493","12574","9677","24300","15599","23156","17775","12964","18264","11187","19991","11893","17875","13418","21640","13928","22476","12335","22955","10976","17919","13591","25206","15434","33065","16475","22657","10548","18156","5396","20088","3854","18056","3333","6511","2128","203","1056","1","34","0","0","0","0","20190603"
"201905","공항철도 1호선","디지털미디어시티","77","4","3612","890","6932","6894","18441","24718","19934","91647","12788","42023","9419","17610","10640","14107","12164","14878","13557","16058","13921","13148","16550","12848","19629","12906","36670","14973","91669","21977","38686","16635","27068","10439","26703","8740","24013","8425","8786","5811","965","2635","0","4","0","0","0","0","20190603"
"201905","공항철도 1호선","마곡나루","9","3","1173","543","2852","5365","8136","14056","10274","39494","5819","14838","3771","6564","4203","4728","5270","4622","5526","5311","5236","4979","6711","4771","10014","4909","32212","5963","32499","10061","12753","7841","7768","4780","6246","4816","4671","5061","1935","3051","319","2168","0","1","0","0","0","0","20190603"
"201905","공항철도 1호선","서울역","235","2","5886","1512","7067","14970","14821","21519","21942","30321","20651","26435","21740","22679","27779","22041","29142","23505","29318","20084","21639","21738","32236","21027","32277","23719","34846","22554","37838","26178","30575","22337","22871","16977","22706","14540","17067","12040","9580","6582","173","3003","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","영종","12","0","2542","142","6743","2120","10762","2939","8790","3487","6843","2707","5674","2341","5379","3303","4967","3138","4347","3371","4010","3885","4389","4766","5092","4875","5359","6605","4203","8306","2707","9760","2219","6727","1797","6888","1197","6769","718","5642","82","2313","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","운서","77","2","9207","681","12309","7560","20857","11638","19650","15925","12218","11450","11812","6909","13438","6637","13582","7123","11019","8388","10511","8872","10971","12289","13762","13158","17645","15234","15599","22086","8822","19206","8623","15848","8178","17206","6559","17919","3144","13280","396","4770","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","인천공항1터미널","0","0","16317","6683","17383","19429","19474","39013","20236","41511","19893","28043","19119","26553","21690","37902","27125","41718","31320","33654","37539","35693","40803","23492","39343","30043","37542","28160","39333","25678","27236","23321","24435","20719","27879","13131","29200","10400","12294","8560","19","6849","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","인천공항2터미널","0","0","6508","3171","5393","8761","7596","15312","7584","14665","7386","8842","3806","10476","5164","11319","9479","11831","7233","8398","9536","7362","12330","10268","12766","9569","18962","11156","21419","5618","10652","3129","8031","2410","8808","2580","6457","1497","2828","1008","0","878","0","0","0","0","0","0","20190603"
"201905","공항철도 1호선","청라국제도시","191","0","4718","308","18714","3582","36028","7852","21396","19023","13542","5237","10592","3555","10164","3474","9174","4454","7944","5786","6969","6183","7309","7617","8850","10521","12681","13260","20287","20850","6247","26714","4901","15815","4117","15138","3148","15219","1235","11331","199","3241","0","0","0","0","0","0","20190603"
